FIA.Code,jenkins_model,PLANTS.Code,Scientific.Name.with.Author,Common.Name,Family,habit,Genus,Species,Adj.Factor,model_name,betaZero,betaOne,chojnacky,Species.Group,Group,MedianSpecGrav,beta0,beta1
372,soft maple/birch,BELE,Betula lenta L.,sweet birch,Betulaceae,tree,Betula,lenta,0.932,hw2,-1.9123,2.3651,BetulaceaeAbove0.60spg,hardwood,Hardwood,0.62,-2.2652,2.5349
376,soft maple/birch,BENE4,Betula neoalaskana Sarg.,resin birch,Betulaceae,tree,Betula,neoalaskana,0.84,hw2,-1.9123,2.3651,BetulaceaeAbove0.60spg,hardwood,Hardwood,0.62,-2.2652,2.5349
373,soft maple/birch,BENI,Betula nigra L.,river birch,Betulaceae,tree,Betula,nigra,0.792,hw2,-1.9123,2.3651,BetulaceaeBelow0.40spg,hardwood,Hardwood,0.37,-2.5932,2.5349
374,soft maple/birch,BEOC2,Betula occidentalis Hook.,water birch,Betulaceae,tree,Betula,occidentalis,0.964,hw2,-1.9123,2.3651,BetulaceaeBelow0.40spg,hardwood,Hardwood,0.37,-2.5932,2.5349
375,soft maple/birch,BEPA,Betula papyrifera Marshall,paper birch,Betulaceae,tree,Betula,papyrifera,0.792,hw2,-1.9123,2.3651,Betulaceae0.40-0.49spg,hardwood,Hardwood,0.47,-2.2271,2.4513
NA,soft maple/birch,BEPAC2,Betula papyrifera Marshall var. cordifolia (Regel) Fernald,mountain paper birch,Betulaceae,tree,NA,NA,0.84,hw2,-1.9123,2.3651,Betulaceae0.40-0.49spg,hardwood,Hardwood,0.47,-2.2271,2.4513
NA,soft maple/birch,BEPAP,Betula papyrifera Marshall var. papyrifera,paper birch,Betulaceae,tree,NA,NA,0.84,hw2,-1.9123,2.3651,Betulaceae0.40-0.49spg,hardwood,Hardwood,0.47,-2.2271,2.4513
379,soft maple/birch,BEPO,Betula populifolia Marshall,gray birch,Betulaceae,tree,Betula,populifolia,0.792,hw2,-1.9123,2.3651,Betulaceae0.40-0.49spg,hardwood,Hardwood,0.47,-2.2271,2.4513
NA,soft maple/birch,BEPU4,Betula pumila L.,bog birch,Betulaceae,tree,NA,NA,0.84,hw2,-1.9123,2.3651,Betulaceae0.40-0.49spg,hardwood,Hardwood,0.47,-2.2271,2.4513
NA,,BERA3,Bejaria racemosa Vent.,flyweed,Ericaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,BESC,Berchemia scandens (Hill) K. Koch,Alabama supplejack,Rhamnaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,BETH,Berberis thunbergii DC.,Japanese barberry,Berberidaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,soft maple/birch,BETUL,Betula L.,birch,Betulaceae,tree,NA,NA,0.84,hw2,-1.9123,2.3651,Betulaceae0.40-0.49spg,hardwood,Hardwood,0.47,-2.2271,2.4513
NA,,BICA,Bignonia capreolata L.,crossvine,Bignoniaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,BIGNO,Bignonia L.,bignonia,Bignoniaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6255,woodland,BOSU2,Bourreria succulenta Jacq.,bodywood,Boraginaceae,shrub/tree,Bourreria,succulenta,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,BOURR,Bourreria P. Br.,strongbark,Boraginaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,BRAR6,Broussaisia arguta Gaudich.,kanawao,Hydrangeaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,BROV4,Brunnichia ovata (Walter) Shinners,American buckwheat vine,Polygonaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6284,woodland,BUBU,Bucida buceras L.,gregorywood,Combretaceae,tree,Bucida,buceras,0.84,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
5328,,BUCA15,Butia capitata (Mart.) Becc.,South American jelly palm,Arecaceae,palm,Butia,capitata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6295,,BUGL,Bunchosia glandulosa (Cav.) DC.,cafe forastero,Malpighiaceae,shrub,Bunchosia,glandulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,BUMI6,Buxbaumia minakatae Okam.,buxbaumia moss,Buxbaumiaceae,nonvascular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,,BUSI,Bursera simaruba (L.) Sarg.,gumbo limbo,Burseraceae,shrub,Bursera,simaruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,BUTIA,Butia Becc.,jelly palm,Arecaceae,palm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6402,,CAAC3,Casearia aculeata Jacq.,rabo de ranton,Flacourtiaceae,shrub,Casearia,aculeata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,CAAM2,Callicarpa americana L.,American beautyberry,Verbenaceae,shrub,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
401,hard maple/oak/hickory/beech,CAAQ2,Carya aquatica (Michx. f.) Nutt.,water hickory,Juglandaceae,tree,Carya,aquatica,0.744,hw4,-2.0127,2.4342,NA,NA,NA,NA,NA,NA
NA,,CACA,Cabomba caroliniana A. Gray,Carolina fanwort,Cabombaceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,mixed hardwood,CACA18,Carpinus caroliniana Walter,American hornbeam,Betulaceae,tree,Carpinus,caroliniana,0.84,hw3,-2.48,2.4835,BetulaceaeAbove0.60spg,hardwood,Hardwood,0.62,-2.2652,2.5349
413,hard maple/oak/hickory/beech,CACA38,Carya carolinae-septentrionalis (Ashe) Engl. & Graebn.,southern shagbark hickory,Juglandaceae,tree,Carya,carolinae-septentrionalis,0.744,hw4,-2.0127,2.4342,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,CACAV,Carpinus caroliniana Walter ssp. virginiana (Marshall) Furlow,American hornbeam,Betulaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,BetulaceaeAbove0.60spg,hardwood,Hardwood,0.62,-2.2652,2.5349
402,hard maple/oak/hickory/beech,CACO15,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory,Juglandaceae,tree,Carya,cordiformis,0.744,hw4,-2.0127,2.4342,NA,NA,NA,NA,NA,NA
6386,,CACY,Capparis cynophallophora L.,Jamaican caper,Capparaceae,shrub,Capparis,cynophallophora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,mixed hardwood,CADE12,Castanea dentata (Marshall) Borkh.,American chestnut,Fagaceae,tree,Castanea,dentata,0.84,hw4,-2.48,2.4835,FagaceaeDeciduous,hardwood,Hardwood,0.57,-2.0705,2.441
81,cedar/larch,CADE27,Calocedrus decurrens (Torr.) Florin,incense cedar,Cupressaceae,tree,Calocedrus,decurrens,0.588,sw1,-2.0336,2.2592,Cupressaceae0.30-0.39spg,conifer,Conifer,0.34,-2.7765,2.4195
NA,,CADE8,Carex densa (L.H. Bailey) L.H. Bailey,dense sedge,Cyperaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6387,,CAFL2,Capparis flexuosa (L.) L.,falseteeth,Capparaceae,shrub,Capparis,flexuosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,CAFL22,Calycanthus floridus L.,eastern sweetshrub,Calycanthaceae,shrub,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,CAGI10,Carnegiea gigantea (Engelm.) Britton & Rose,saguaro,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,hard maple/oak/hickory/beech,CAGL8,Carya glabra (Mill.) Sweet,pignut hickory,Juglandaceae,tree,Carya,glabra,0.744,hw4,-2.0127,2.4342,NA,NA,NA,NA,NA,NA
6389,,CAHA9,Capparis hastata Jacq.,broadleaf caper,Capparaceae,shrub,Capparis,hastata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,hard maple/oak/hickory/beech,CAIL2,Carya illinoinensis (Wangenh.) K. Koch,pecan,Juglandaceae,tree,Carya,illinoinensis,0.744,hw4,-2.0127,2.4342,Fabaceae/Juglandaceae/Carya,hardwood,Hardwood,0.62,-2.5095,2.6175
6390,,CAIN5,Capparis indica (L.) Druce,linguam,Capparaceae,shrub,Capparis,indica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CAOD3,Carphephorus odoratissimus (J.F. Gmel.) Herb.,vanillaleaf,Asteraceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,hard maple/oak/hickory/beech,CAOV2,Carya ovata (Mill.) K. Koch,shagbark hickory,Juglandaceae,tree,Carya,ovata,0.744,hw4,-2.0127,2.4342,Fabaceae/Juglandaceae/Carya,hardwood,Hardwood,0.62,-2.5095,2.6175
412,hard maple/oak/hickory/beech,CAOV3,Carya ovalis (Wangenh.) Sarg.,red hickory,Juglandaceae,tree,Carya,ovalis,0.744,hw4,-2.0127,2.4342,NA,NA,NA,NA,NA,NA
410,hard maple/oak/hickory/beech,CAPA24,Carya pallida (Ashe) Engl. & Graebn.,sand hickory,Juglandaceae,tree,Carya,pallida,0.744,hw4,-2.0127,2.4342,NA,NA,NA,NA,NA,NA
NA,,CAPA43,Catesbaea parviflora Sw.,smallflower lilythorn,Rubiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
998,,CARA2,Campsis radicans (L.) Seem. ex Bureau,trumpet creeper,Bignoniaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,hard maple/oak/hickory/beech,CARYA,Carya Nutt.,hybrid hickory,Juglandaceae,tree,NA,NA,0.84,hw4,-2.0127,2.4342,NA,NA,NA,NA,NA,NA
NA,hard maple/oak/hickory/beech,CASTA,Castanea Mill.,chestnut,Fagaceae,tree,NA,NA,0.84,hw4,-2.0127,2.4342,NA,NA,NA,NA,NA,NA
6410,,CASY2,Casearia sylvestris Sw.,crackopen,Flacourtiaceae,shrub,Casearia,sylvestris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,hard maple/oak/hickory/beech,CATO6,Carya tomentosa (Lam.) Nutt.,mockernut hickory,Juglandaceae,tree,NA,NA,0.84,hw4,-2.0127,2.4342,NA,NA,NA,NA,NA,NA
6380,,CAWI,Canella winterana (L.) Gaertn.,wild cinnamon,Canellaceae,shrub,Canella,winterana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6425,,CAXY,Cassine xylocarpa Vent.,marbletree,Celastraceae,shrub,Cassine,xylocarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CEANO,Ceanothus L.,ceanothus,Rhamnaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CECA,Cedronella canariensis (L.) Willd. ex Webb & Bethel.,herb of Gilead,Lamiaceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,mixed hardwood,CECA4,Cercis canadensis L.,eastern redbud,Fabaceae,tree,Cercis,canadensis,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
471,mixed hardwood,CECAC,Cercis canadensis L. var. canadensis,eastern redbud,Fabaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,,CECO,Ceanothus cordulatus Kellogg,whitethorn ceanothus,Rhamnaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CECU,Ceanothus cuneatus (Hook.) Nutt.,buckbrush,Rhamnaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CEEH,Celtis ehrenbergiana (Klotzsch) Liebm.,spiny hackberry,Ulmaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CEER3,Ceratiola ericoides Michx.,sand heath,Empetraceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CEHE,Ceanothus herbaceus Raf.,Jersey tea,Rhamnaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CEIN3,Ceanothus integerrimus Hook. & Arn.,deerbrush,Rhamnaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461,mixed hardwood,CELA,Celtis laevigata Willd.,sugarberry,Ulmaceae,tree,Celtis,laevigata,0.792,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,,CELE2,Ceanothus leucodermis Greene,chaparral whitethorn,Rhamnaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,CELTI,Celtis L.,hackberry,Ulmaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
478,woodland,CEMOG,Cercocarpus montanus Raf. var. glaber (S. Watson) F.L. Martin,birchleaf mountain mahogany,Rosaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Fabaceae/Juglandaceae/Carya,NA,NA,NA,NA,NA
NA,,CENI,Celosia nitida Vahl,West Indian cock's comb,Amaranthaceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462,mixed hardwood,CEOC,Celtis occidentalis L.,common hackberry,Ulmaceae,tree,Celtis,occidentalis,0.792,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
5432,,CEOC2,Cephalanthus occidentalis L.,common buttonbush,Rubiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3026,,CEOR7,Celastrus orbiculatus Thunb.,Oriental bittersweet,Celastraceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CEPHA,Cephalanthus L.,buttonbush,Rubiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CHAL8,Chiococca alba (L.) Hitchc.,West Indian milkberry,Rubiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,CHFO,Chamaebatia foliolosa Benth.,mountain misery,Rosaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,hard maple/oak/hickory/beech,CHSE11,Chrysolepis sempervirens (Kellogg) Hjelmqvist,bush chinquapin,Fagaceae,tree,NA,NA,0.84,hw4,-2.0127,2.4342,NA,NA,NA,NA,NA,NA
NA,,CHSI,Chromolaena sinuata (Lam.) R.M. King & H. Rob.,wavyleaf thoroughwort,Asteraceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6514,woodland,CHTR2,Cheirodendron trigynum (Gaudich.) A. Heller,olapalapa,Araliaceae,tree,Cheirodendron,trigynum,0.84,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,CHVI8,Chrysothamnus viscidiflorus (Hook.) Nutt.,yellow rabbitbrush,Asteraceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6549,,CIBOT,Cibotium Kaulf.,manfern,Dicksoniaceae,tree fern,Cibotium,spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6547,,CIGL,Cibotium glaucum (Sm.) Hook. & Arn.,hapu'u,Dicksoniaceae,tree fern,Cibotium,glaucum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6548,,CIME8,Cibotium menziesii Hook.,hapu'u li,Dicksoniaceae,tree fern,Cibotium,menziesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CITR2,Cissus trifoliata (L.) L.,sorrelvine,Vitaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,CLAC3,Clethra acuminata Michx.,mountain sweetpepperbush,Clethraceae,shrub,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
6628,woodland,CLERM,Clermontia Gaudich.,clermontia,Campanulaceae,shrub/tree,Clermontia,spp.,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,CLETH,Clethra L.,sweetpepperbush,Clethraceae,shrub,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
481,hard maple/oak/hickory/beech,CLKE,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood,Fabaceae,tree,Cladrastis,kentukea,0.84,hw4,-2.0127,2.4342,NA,NA,NA,NA,NA,NA
6615,woodland,CLMO5,Clermontia montis-loa Rock,Mauna Loa clermontia,Campanulaceae,shrub/tree,Clermontia,montis-loa,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,CLTE3,Clitoria ternatea L.,Asian pigeonwings,Fabaceae,tree,NA,NA,0.84,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,COAL2,Cornus alternifolia L. f.,alternateleaf dogwood,Cornaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,,COAM,Conopholis americana (L.) Wallr.,American cancer-root,Orobanchaceae,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,COAM2,Cornus amomum Mill.,silky dogwood,Cornaceae,tree,NA,NA,0.84,hw3,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,woodland,COAM3,Corylus americana Walter,American hazelnut,Betulaceae,tree,NA,NA,0.84,NA,-0.7152,1.7029,BetulaceaeAbove0.60spg,hardwood,Hardwood,0.62,-2.2652,2.5349
6693,woodland,COAR3,Colubrina arborescens (Mill.) Sarg.,greenheart,Rhamnaceae,shrub/tree,Colubrina,arborescens,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
6673,,COBA3,Coccothrinax barbadensis (Lodd. ex Mart.) Becc.,Puerto Rico silver palm,Arecaceae,palm,Coccothrinax,barbadensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,COCA,Cocculus carolinus (L.) DC.,Carolina coralbead,Menispermaceae,vine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,COCCO,Coccoloba P. Br.,coccoloba,Polygonaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
6731,woodland,COCO5,Cordia collococca L.,red manjack,Boraginaceae,shrub/tree,Cordia,collococca,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,COCO6,Corylus cornuta Marshall,beaked hazelnut,Betulaceae,tree,NA,NA,0.84,NA,-0.7152,1.7029,BetulaceaeAbove0.60spg,hardwood,Hardwood,0.62,-2.2652,2.5349
NA,woodland,COCOC,Corylus cornuta Marshall var. californica (A. DC.) Sharp,California hazelnut,Betulaceae,tree,NA,NA,0.84,NA,-0.7152,1.7029,BetulaceaeAbove0.60spg,hardwood,Hardwood,0.62,-2.2652,2.5349
NA,woodland,COCOC2,Corylus cornuta Marshall var. cornuta,beaked hazelnut,Betulaceae,tree,NA,NA,0.84,NA,-0.7152,1.7029,BetulaceaeAbove0.60spg,hardwood,Hardwood,0.62,-2.2652,2.5349
863,woodland,CODI8,Coccoloba diversifolia Jacq.,tietongue,Polygonaceae,shrub/tree,Coccoloba,diversifolia,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
6705,,CODO,Comocladia dodonaea (L.) Urb.,poison ash,Anacardiaceae,tree,Comocladia,dodonaea,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,CODR,Cornus drummondii C.A. Mey.,roughleaf dogwood,Cornaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
864,woodland,COEL2,Colubrina elliptica (Sw.) Briz. & Stern,soldierwood,Rhamnaceae,shrub/tree,Colubrina,elliptica,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,,COER3,Coprosma ernodeoides A. Gray,'aiakanene,Rubiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,mixed hardwood,COFL2,Cornus florida L.,flowering dogwood,Cornaceae,tree,Cornus,florida,0.932,hw3,-2.48,2.4835,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,mixed hardwood,COFO,Cornus foemina Mill.,stiff dogwood,Cornaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
6660,woodland,COKR,Coccoloba krugii Lindau,whitewood,Polygonaceae,shrub/tree,Coccoloba,krugii,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
NA,woodland,COLUB,Colubrina Rich. ex Brongn.,nakedwood,Rhamnaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
6661,woodland,COMI,Coccoloba microstachya Willd.,puckhout,Polygonaceae,shrub/tree,Coccoloba,microstachya,NA,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
6719,,COMO3,Coprosma montana Hillebr.,alpine mirrorplant,Rubiaceae,shrub,Coprosma,montana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,mixed hardwood,CONU4,Cornus nuttallii Audubon ex Torr. & A. Gray,Pacific dogwood,Cornaceae,tree,Cornus,nuttallii,0.964,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
6720,,COOC3,Coprosma ochracea W.R.B. Oliv.,Maui mirrorplant,Rubiaceae,shrub,Coprosma,ochracea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,COPE80,Comptonia peregrina (L.) J.M. Coult.,sweet fern,Myricaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6724,,COPRO,Coprosma J.R. Forst. & G. Forst.,mirrorplant,Rubiaceae,shrub,Coprosma,spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,CORNU,Cornus L.,dogwood,Cornaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,,COROR,Coryphantha robustispina (Schott ex Engelm.) Britton & Rose ssp. robustispina,long-tubercle beehive cactus,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,COROS,Coryphantha robustispina (Schott ex Engelm.) Britton & Rose ssp. scheeri (Muehlenpf.) N.P. Taylor,Scheer's beehive cactus,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,mixed hardwood,COSE16,Cornus sericea L.,redosier dogwood,Cornaceae,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
500,woodland,CRATA,Crataegus L.,hawthorn,Rosaceae,shrub/tree,Crataegus,spp.,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
500,woodland,CRATASPP,Crataegus L.,hawthorn,Rosaceae,shrub/tree,Crataegus,spp.,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,,CRBE4,Croton betulinus Vahl,beechleaf croton,Euphorbiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,woodland,CRCH,Crataegus chrysocarpa Ashe,fireberry hawthorn,Rosaceae,shrub/tree,Crataegus,chrysocarpa,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
501,woodland,CRCR2,Crataegus crus-galli L.,cockspur hawthorn,Rosaceae,shrub/tree,Crataegus,crus-galli,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,,CRDI8,Croton discolor Willd.,lechecillo,Euphorbiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,CRFL2,Crataegus flava Aiton,yellowleaf hawthorn,Rosaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
6774,,CRFL23,Croton flavens L.,yellow balsam,Euphorbiaceae,shrub,Croton,flavens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CRLU2,Croton lucidus L.,firebush,Euphorbiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,CRMA3,Crataegus macrosperma Ashe,bigfruit hawthorn,Rosaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
6767,,CROSS,Crossopetalum P. Br.,crossopetalum,Celastraceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CROTO,Croton L.,croton,Euphorbiaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6767,,CRRH,Crossopetalum rhacoma Crantz,maidenberry,Celastraceae,shrub,Crossopetalum,rhacoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,woodland,CRSP,Crataegus spathulata Michx.,littlehip hawthorn,Rosaceae,shrub/tree,NA,NA,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
5093,woodland,CRUN,Crataegus uniflora MÃ¼nchh.,dwarf hawthorn,Rosaceae,shrub/tree,Crataegus,uniflora,NA,NA,-0.7152,1.7029,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,hardwood,Hardwood,0.47,-2.2118,2.4133
NA,,CYFU10,Cylindropuntia fulgida (Engelm.) F.M. Knuth,jumping cholla,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CYIM2,Cylindropuntia imbricata (Haw.) F.M. Knuth,tree cholla,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CYLE8,Cylindropuntia leptocaulis (DC.) F.M. Knuth,Christmas cactus,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CYLIN2,Cylindropuntia (Engelm.) Kreuzinger,cholla,Cactaceae,cactus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CYLY2,Cyrtandra lysiosepala (A. Gray) C.B. Clarke,oppositeleaf cyrtandra,Gesneriaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,CYPA12,Cyrtandra paludosa Gaudich.,kanawao ke'oke'o,Gesneriaceae,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
