Common name,Genus,Species,"FIA
Code"
Fir spp.,Abies,spp.,10
Pacific silver fir,Abies,amabilis,11
Balsam fir,Abies,balsamea,12
Santa Lucia or bristlecone fir,Abies,bracteata,14
White fir,Abies,concolor,15
Fraser fir,Abies,fraseri,16
Grand fir,Abies,grandis,17
Corkbark fir,Abies,lasiocarpa var. arizonica,18
Subalpine fir,Abies,lasiocarpa,19
California red fir,Abies,magnifica,20
Shasta red fir,Abies,shastensis,21
Noble fir,Abies,procera,22
White-cedar spp.,Chamaecyparis,spp.,40
Port-Orford-cedar,Chamaecyparis,lawsoniana,41
Alaska yellow-cedar,Chamaecyparis,nootkatensis,42
Atlantic white-cedar,Chamaecyparis,thyoides,43
Cypress,Cupressus,spp.,50
Arizona cypress,Cupressus,arizonica,51
Baker or Modoc cypress,Cupressus,bakeri,52
Tecate cypress,Cupressus,forbesii,53
Monterey cypress,Cupressus,macrocarpa,54
Sargent’s cypress,Cupressus,sargentii,55
MacNab’s cypress,Cupressus,macnabiana,56
Redcedar/juniper spp.,Juniperus,spp.,57
Pinchot juniper,Juniperus,pinchotii,58
Redberry juniper,Juniperus,coahuilensis,59
Drooping juniper,Juniperus,flaccida,60
Ashe juniper,Juniperus,ashei,61
California juniper,Juniperus,californica,62
Alligator juniper,Juniperus,deppeana,63
Western juniper,Juniperus,occidentalis,64
Utah juniper,Juniperus,osteosperma,65
Rocky Mountain juniper,Juniperus,scopulorum,66
Southern redcedar,Juniperus,virginiana,67
Eastern redcedar,Juniperus,virginiana,68
Oneseed juniper,Juniperus,monosperma,69
Larch spp.,Larix,spp.,70
Tamarack (native),Larix,laricina,71
Subalpine larch,Larix,lyallii,72
Western larch,Larix,occidentalis,73
Incense-cedar,Calocedrus,decurrens,81
Spruce spp.,Picea,spp.,90
Norway spruce,Picea,abies,91
Brewer spruce,Picea,breweriana,92
Engelmann spruce,Picea,engelmannii,93
White spruce,Picea,glauca,94
Black spruce,Picea,mariana,95
Blue spruce,Picea,pungens,96
Red spruce,Picea,rubens,97
Sitka spruce,Picea,sitchensis,98
Pine spp.,Pinus,spp.,100
Whitebark pine,Pinus,albicaulis,101
Rocky Mountain bristlecone pine,Pinus,aristata,102
Knobcone pine,Pinus,attenuata,103
Foxtail pine,Pinus,balfouriana,104
Jack pine,Pinus,banksiana,105
Common or two-needle pinyon,Pinus,edulis,106
Sand pine,Pinus,clausa,107
Lodgepole pine,Pinus,contorta,108
Coulter pine,Pinus,coulteri,109
Shortleaf pine,Pinus,echinata,110
Slash pine,Pinus,elliottii,111
Apache pine,Pinus,engelmannii,112
Limber pine,Pinus,flexilis,113
Southwestern white pine,Pinus,strobiformis,114
Spruce pine,Pinus,glabra,115
Jeffrey pine,Pinus,jeffreyi,116
Sugar pine,Pinus,lambertiana,117
Chihuahua pine,Pinus,leiophylla,118
Western white pine,Pinus,monticola,119
Bishop pine,Pinus,muricata,120
Longleaf pine,Pinus,palustris,121
Ponderosa pine,Pinus,ponderosa,122
Table Mountain pine,Pinus,pungens,123
Monterey pine,Pinus,radiata,124
Red pine,Pinus,resinosa,125
Pitch pine,Pinus,rigida,126
Gray or California foothill pine,Pinus,sabiniana,127
Pond pine,Pinus,serotina,128
Eastern white pine,Pinus,strobus,129
Scotch pine,Pinus,sylvestris,130
Loblolly pine,Pinus,taeda,131
Virginia pine,Pinus,virginiana,132
Singleleaf pinyon,Pinus,monophylla,133
Border pinyon,Pinus,discolor,134
Arizona pine,Pinus,arizonica,135
Austrian pine,Pinus,nigra,136
Washoe pine,Pinus,washoensis,137
Four-leaf or Parry pinyon pine,Pinus,quadrifolia,138
Torrey pine,Pinus,torreyana,139
Mexican pinyon pine,Pinus,cembroides,140
Papershell pinyon pine,Pinus,remota,141
Great Basin bristlecone pine,Pinus,longaeva,142
Arizona pinyon pine,Pinus,monophylla,143
Honduras pine,Pinus,elliottii,144
Douglas-fir spp.,Pseudotsuga,spp.,200
Bigcone Douglas-fir,Pseudotsuga,macrocarpa,201
Douglas-fir,Pseudotsuga,menziesii,202
Redwood,Sequoia,sempervirens,211
Giant sequoia,Sequoiadendron,giganteum,212
Baldcypress spp.,Taxodium,spp.,220
Baldcypress,Taxodium,distichum,221
Pondcypress,Taxodium,ascendens,222
Montezuma baldcypress,Taxodium,mucronatum,223
Yew spp.,Taxus,spp.,230
Pacific yew,Taxus,brevifolia,231
Florida yew,Taxus,floridana,232
Thuja spp.,Thuja,spp.,240
Northern white-cedar,Thuja,occidentalis,241
Western redcedar,Thuja,plicata,242
Torreya (nutmeg) spp.,Torreya,spp.,250
California torreya (nutmeg),Torreya,californica,251
Florida torreya (nutmeg),Torreya,taxifolia,252
Hemlock spp.,Tsuga,spp.,260
Eastern hemlock,Tsuga,canadensis,261
Carolina hemlock,Tsuga,caroliniana,262
Western hemlock,Tsuga,heterophylla,263
Mountain hemlock,Tsuga,mertensiana,264
Unknown dead conifer,Tree,evergreen,299
Acacia spp.,Acacia,spp.,300
Sweet acacia,Acacia,farnesiana,303
Catclaw acacia,Acacia,greggii,304
Maple spp.,Acer,spp.,310
Florida maple,Acer,barbatum,311
Bigleaf maple,Acer,macrophyllum,312
Boxelder,Acer,negundo,313
Black maple,Acer,nigrum,314
Striped maple,Acer,pensylvanicum,315
Red maple,Acer,rubrum,316
Silver maple,Acer,saccharinum,317
Sugar maple,Acer,saccharum,318
Mountain maple,Acer,spicatum,319
Norway maple,Acer,platanoides,320
Rocky Mountain maple,Acer,glabrum,321
Bigtooth maple,Acer,grandidentatum,322
Chalk maple,Acer,leucoderme,323
"Buckeye, horsechestnut spp.",Aesculus,spp.,330
Ohio buckeye,Aesculus,glabra,331
Yellow buckeye,Aesculus,flava,332
California buckeye,Aesculus,californica,333
Texas buckeye,Aesculus,glabra,334
Red buckeye,Aesculus,pavia,336
Painted buckeye,Aesculus,sylvatica,337
Ailanthus,Ailanthus,altissima,341
"Mimosa, silktree",Albizia,julibrissin,345
Alder spp.,Alnus,spp.,350
Red alder,Alnus,rubra,351
White alder,Alnus,rhombifolia,352
Arizona alder,Alnus,oblongifolia,353
