,Symbol,Synonym.Symbol,Scientific.Name.with.Author,Common.Name,Family,jenkins_model
379,QUCO2,,Quercus coccinea Münchh.,scarlet oak,Fagaceae,hard maple/oak/hickory/beech
380,QUERC,,Quercus L.,oak,Fagaceae,hard maple/oak/hickory/beech
381,QUFA,QUFAT,Quercus falcata Michx. var. triloba (Michx.) Nutt.,,,
382,QUFA,QUTR3,Quercus triloba Michx.,,,
383,QUFA,,Quercus falcata Michx.,southern red oak,Fagaceae,hard maple/oak/hickory/beech
384,QUGE2,,Quercus geminata Small,sand live oak,Fagaceae,hard maple/oak/hickory/beech
385,QUGE2,QUVIG,Quercus virginiana Mill. var. geminata (Small) Sarg.,,,
386,QUGE2,QUVIM3,Quercus virginiana Mill. var. maritima (Michx.) Sarg.,,,
387,QUHE2,,Quercus hemisphaerica W. Bartram ex Willd.,Darlington oak,Fagaceae,hard maple/oak/hickory/beech
388,QULA2,QUCA10,Quercus catesbaei Michx.,,,
389,QULA2,,Quercus laevis Walter,turkey oak,Fagaceae,hard maple/oak/hickory/beech
390,QULA3,QUPHL,Quercus phellos L. var. laurifolia (Michx.) Chapm.,,,
391,QULA3,QUSU10,Quercus succulenta Small,,,
392,QULA3,QUHE4,Quercus hemisphaerica auct. non W. Bartram ex Willd.,,,
393,QULA3,,Quercus laurifolia Michx.,laurel oak,Fagaceae,hard maple/oak/hickory/beech
394,QULA3,QUOB2,Quercus obtusa (Willd.) Ashe,,,
395,QULY,,Quercus lyrata Walter,overcup oak,Fagaceae,hard maple/oak/hickory/beech
396,QUMA3,,Quercus marilandica Münchh.,blackjack oak,Fagaceae,hard maple/oak/hickory/beech
397,QUMI,QUPR4,"Quercus prinus L. p.p., nom. utique rej.",,,
398,QUMI,QUHO3,Quercus houstoniana C.H. Mull.,,,
399,QUMI,,Quercus michauxii Nutt.,swamp chestnut oak,Fagaceae,hard maple/oak/hickory/beech
400,QUMO4,,Quercus montana Willd.,chestnut oak,Fagaceae,hard maple/oak/hickory/beech
401,QUMO4,QUPR2,"Quercus prinus L. p.p., nom. utique rej.",,,
402,QUNE,,Quercus ×neopalmeri Sudw. ex Palmer,hybrid oak,Fagaceae,hard maple/oak/hickory/beech
403,QUNI,,Quercus nigra L.,water oak,Fagaceae,hard maple/oak/hickory/beech
404,QUNI,QUMI3,Quercus microcarya Small,,,
405,QUNI,QUNIH,Quercus nigra L. var. heterophylla (Aiton) Ashe,,,
406,QUPA,,Quercus ×palaeolithicola Trel.,hybrid oak,Fagaceae,hard maple/oak/hickory/beech
407,QUPA5,,Quercus pagoda Raf.,cherrybark oak,Fagaceae,hard maple/oak/hickory/beech
408,QUPA5,QUPA11,Quercus pagodifolia (Elliott) Ashe,,,
409,QUPA5,QUFAP,Quercus falcata Michx. var. pagodifolia Elliott,,,
410,QUPA5,QUFAL,Quercus falcata Michx. var. leucophylla (Ashe) Palmer & Steyerm.,,,
411,QUPH,,Quercus phellos L.,willow oak,Fagaceae,hard maple/oak/hickory/beech
412,QURU,,Quercus rubra L.,northern red oak,Fagaceae,hard maple/oak/hickory/beech
413,QURUR,,Quercus rubra L. var. rubra,northern red oak,Fagaceae,hard maple/oak/hickory/beech
414,QURUR,QUBOM,Quercus borealis Michx. f. var. maxima (Marshall) Ashe,,,
415,QURUR,QUMA8,Quercus maxima (Marshall) Ashe,,,
416,QUST,QUSTA2,Quercus stellata Wangenh. var. attenuata Sarg.,,,
417,QUST,QUSTP2,Quercus stellata Wangenh. var. parviloba Sarg.,,,
418,QUST,,Quercus stellata Wangenh.,post oak,Fagaceae,hard maple/oak/hickory/beech
419,QUVE,QUVEM,Quercus velutina Lam. var. missouriensis Sarg.,,,
420,QUVE,,Quercus velutina Lam.,black oak,Fagaceae,hard maple/oak/hickory/beech
421,RHCO,RHCO17,"Rhus copallina L., orth. var.",,,
422,RHCO,,Rhus copallinum L.,winged sumac,Anacardiaceae,
423,RHMA4,RHAS2,Rhododendron ashleyi Coker,,,
424,RHMA4,,Rhododendron maximum L.,great laurel,Ericaceae,woodland
425,RHPR,RHRO4,Rhododendron roseum (Loisel.) Rehder,,,
426,RHPR,RHNUR,Rhododendron nudiflorum (L.) Torr. var. roseum (Loisel.) Wiegand,,,
427,RHPR,,Rhododendron prinophyllum (Small) Millais,early azalea,Ericaceae,
428,RHPR,AZPR3,Azalea prinophylla Small,,,
429,RHUS,,Rhus L.,sumac,Anacardiaceae,
430,ROMU,ROMUW,Rosa multiflora Thunb. f. watsoniana (Crép.) Matsum.,,,
431,ROMU,ROCA9,Rosa cathayensis (Rehder & Wilson) L.H. Bailey,,,
432,ROMU,ROWA4,Rosa watsoniana Crép.,,,
433,ROMU,,Rosa multiflora Thunb.,multiflora rose,Rosaceae,
434,ROPS,,Robinia pseudoacacia L.,black locust,Fabaceae,mixed hardwood
435,ROPS,ROPSR,Robinia pseudoacacia L. var. rectissima (L.) Raber,,,
436,ROPS,ROPSP,Robinia pseudoacacia L. var. pyramidalis Pepin,,,
437,ROPS,ROPSI2,Robinia pseudoacacia L. f. inermis (Mirb.) Rehder,,,
438,RUBUS,,Rubus L.,blackberry,Rosaceae,
439,RUPH,,Rubus phoenicolasius Maxim.,wine raspberry,Rosaceae,
440,SAAL5,,Sassafras albidum (Nutt.) Nees,sassafras,Lauraceae,mixed hardwood
441,SAAL5,LASA6,Laurus sassafras L.,,,
442,SAAL5,SAVA7,Sassafras variifolium (Salisb.) Kuntze,,,
443,SAAL5,SAOF5,Sassafras officinale Nees & Eberm.,,,
444,SAAL5,SASA17,"Sassafras sassafras (L.) Karst., nom. inval.",,,
445,SAAL5,LAAL5,Laurus albidus Nutt.,,,
446,SAAL5,SAALM2,Sassafras albidum (Nutt.) Nees var. molle (Raf.) Fernald,,,
447,SABAL,,Sabal Adans.,palmetto,Arecaceae,
448,SAET,SAMI14,Sabal miamiensis Zona,,,
449,SAET,,Sabal etonia Swingle ex Nash,scrub palmetto,Arecaceae,
450,SALIX,,Salix L.,willow,Salicaceae,mixed hardwood
451,SAMI8,SALO14,Sabal louisiana (Darby) Bomhard,,,
452,SAMI8,SAGL13,"Sabal glabra Sarg., non Mill.",,,
453,SAMI8,SADE9,Sabal deeringiana Small,,,
454,SAMI8,COMI9,Corypha minor Jacq.,,,
455,SAMI8,,Sabal minor (Jacq.) Pers.,dwarf palmetto,Arecaceae,?
456,SAMI8,SAAD3,Sabal adansonii Guersent,,,
457,SANI4,,Sambucus nigra L.,black elderberry,Caprifoliaceae,mixed hardwood
458,SECA4,AFCA,Afzelia cassioides J.F. Gmel.,,,
459,SECA4,,Seymeria cassioides (J.F. Gmel.) S.F. Blake,yaupon blacksenna,Scrophulariaceae,
460,SERE2,BRSE3,Brahea serrulata (Michx.) H. Wendl.,,,
461,SERE2,SESE10,Serenoa serrulata (Michx.) G. Nicholson,,,
462,SERE2,,Serenoa repens (W. Bartram) Small,saw palmetto,Arecaceae,?
463,SERE2,CORE8,Corypha repens W. Bartram,,,
464,SMILA2,,Smilax L.,greenbrier,Smilacaceae,
465,SMLA,,Smilax laurifolia L.,laurel greenbrier,Smilacaceae,
466,SOAM3,PYAM2,Pyrus americana (Marshall) DC.,,,
467,SOAM3,PYMI4,Pyrus microcarpa (Pursh) Spreng.,,,
468,SOAM3,,Sorbus americana Marshall,American mountain ash,Rosaceae,mixed hardwood
469,SYOR,,Symphoricarpos orbiculatus Moench,coralberry,Caprifoliaceae,
470,SYOR,SYSY,"Symphoricarpos symphoricarpos (L.) MacMill., nom. inval.",,,
471,SYTI,SYTIA,Symplocos tinctoria (L.) L'Hér. var. ashei Harbison,,,
472,SYTI,,Symplocos tinctoria (L.) L'Hér.,common sweetleaf,Symplocaceae,
473,SYTI,SYTIP,Symplocos tinctoria (L.) L'Hér. var. pygmaea Fernald,,,
474,TADI2,TADIN,Taxodium distichum (L.) Rich. var. nutans (Aiton) Sweet,,,
475,TADI2,,Taxodium distichum (L.) Rich.,bald cypress,Cupressaceae,cedar/larch
476,THOC2,THOCF,Thuja occidentalis L. var. fastigiata H. Jaeger,,,
477,THOC2,THOCP3,Thuja occidentalis L. var. pyramidalis Zederb.,,,
478,THOC2,THOCM3,Thuja occidentalis L. f. malonyana C.K. Schneid.,,,
479,THOC2,THOCN,Thuja occidentalis L. var. nigra L.H. Bailey,,,
480,THOC2,,Thuja occidentalis L.,arborvitae,Cupressaceae,
481,TIAM,,Tilia americana L.,American basswood,Tiliaceae,mixed hardwood
482,TORA2,,Toxicodendron radicans (L.) Kuntze,eastern poison ivy,Anacardiaceae,
483,TOVE,RHVE2,Rhus vernix L.,,,
484,TOVE,,Toxicodendron vernix (L.) Kuntze,poison sumac,Anacardiaceae,
485,TSCA,,Tsuga canadensis (L.) Carrière,eastern hemlock,Pinaceae,fir/hemlock
486,ULAL,,Ulmus alata Michx.,winged elm,Ulmaceae,mixed hardwood
487,ULAM,,Ulmus americana L.,American elm,Ulmaceae,mixed hardwood
488,ULAM,ULAMF2,Ulmus americana L. var. floridana (Chapm.) Little,,,
489,ULAM,ULFL,Ulmus floridana Chapm.,,,
490,ULMUS,,Ulmus L.,elm,Ulmaceae,mixed hardwood
491,ULRU,,Ulmus rubra Muhl.,slippery elm,Ulmaceae,mixed hardwood
492,ULRU,ULFU,Ulmus fulva Michx.,,,
493,VAAR,BAAN5,Batodendron andrachniforme Small,,,
494,VAAR,VAARG2,Vaccinium arboreum Marshall var. glaucescens (Greene) Sarg.,,,
495,VAAR,BAAR2,Batodendron arboreum (Marshall) Nutt.,,,
496,VAAR,,Vaccinium arboreum Marshall,farkleberry,Ericaceae,woodland
497,VACCI,,Vaccinium L.,blueberry,Ericaceae,woodland
498,VACO,VACOG,Vaccinium corymbosum L. var. glabrum A. Gray,,,
499,VACO,CYCU5,Cyanococcus cuthbertii Small,,,
500,VACO,,Vaccinium corymbosum L.,highbush blueberry,Ericaceae,woodland
501,VACO,VACO3,Vaccinium constablaei A. Gray,,,
502,VACO,VACOA2,Vaccinium corymbosum L. var. albiflorum (Hook.) Fernald,,,
503,VACO,CYCO15,Cyanococcus corymbosus (L.) Rydb.,,,
504,VAMY,CYCA16,Cyanococcus canadensis (Kalm ex A. Rich.) Rydb.,,,
505,VAMY,VAANM,Vaccinium angustifolium Aiton var. myrtilloides (Michx.) House,,,
506,VAMY,,Vaccinium myrtilloides Michx.,velvetleaf huckleberry,Ericaceae,
507,VAMY,VACA9,Vaccinium canadense Kalm ex A. Rich.,,,
508,VAPA4,VACOP,Vaccinium corymbosum L. var. pallidum (Aiton) A. Gray,,,
509,VAPA4,VAVA,Vaccinium vacillans Kalm ex Torr.,,,
510,VAPA4,VAVAC,Vaccinium vacillans Kalm ex Torr. var. crinitum Fernald,,,
511,VAPA4,CYTA,Cyanococcus tallapusae Coville ex Small,,,
512,VAPA4,VAAL2,Vaccinium altomontanum Ashe,,,
513,VAPA4,,Vaccinium pallidum Aiton,Blue Ridge blueberry,Ericaceae,
514,VAPA4,CYSU10,Cyanococcus subcordatus Small,,,
515,VAPA4,CYVA3,Cyanococcus vacillans (Kalm ex Torr.) Rydb.,,,
516,VAPA4,VAVAM,Vaccinium vacillans Kalm ex Torr. var. missouriense Ashe,,,
517,VAPA4,VAVI3,Vaccinium viride Ashe,,,
518,VAPA4,CYLI11,Cyanococcus liparis Small,,,
519,VAPA4,CYPA16,Cyanococcus pallidus (Aiton) Small,,,
520,VAST,POAS,Polycodium ashei Harbison,,,
521,VAST,,Vaccinium stamineum L.,deerberry,Ericaceae,
522,VAST,POST8,Polycodium stamineum (L.) Greene,,,
523,VAST,VAME3,Vaccinium melanocarpum (C. Mohr) C. Mohr ex Kearney,,,
524,VAST,VASTC,Vaccinium stamineum L. var. candicans (Small) C. Mohr,,,
525,VAST,POFL8,Polycodium floridanum (Nutt.) Greene,,,
526,VAST,VASTI,Vaccinium stamineum L. var. interius (Ashe) Palmer & Steyerm.,,,
527,VAST,POCA35,Polycodium candicans Small,,,
528,VAST,POLE10,Polycodium leptosepalum Small,,,
529,VAST,VACA7,Vaccinium caesium Greene,,,
530,VAST,VASTM8,Vaccinium stamineum L. var. melanocarpum C. Mohr,,,
531,VAST,PODE5,Polycodium depressum Small,,,
532,VAST,VANE,Vaccinium neglectum (Small) Fernald,,,
533,VAST,PONE12,Polycodium neglectum Small,,,
534,VAST,VASTN,Vaccinium stamineum L. var. neglectum (Small) Deam,,,
535,VAST,POME5,Polycodium melanocarpum (C. Mohr) Small,,,
536,VAST,POMA31,Polycodium macilentum Small,,,
537,VIAC,VIACA,Viburnum acerifolium L. var. acerifolium,,,
538,VIAC,VIDE4,Viburnum densiflorum Chapm.,,,
539,VIAC,VIACG,Viburnum acerifolium L. var. glabrescens Rehder,,,
540,VIAC,VIACD,Viburnum acerifolium L. var. densiflorum (Chapm.) McAtee,,,
541,VIAC,,Viburnum acerifolium L.,mapleleaf viburnum,Caprifoliaceae,woodland
542,VIAC,VIACO,Viburnum acerifolium L. var. ovatum (Rehder) McAtee,,,
543,VIAE,,Vitis aestivalis Michx.,summer grape,Vitaceae,
544,VIBUR,,Viburnum L.,viburnum,Caprifoliaceae,woodland
545,VICI2,,Vitis cinerea (Engelm.) Engelm. ex Millard,graybark grape,Vitaceae,
546,VILA,VILAS,Viburnum lantana L. var. sphaerocarpum A. Gray ex Fernald,,,
547,VILA,,Viburnum lantana L.,wayfaringtree,Caprifoliaceae,woodland
548,VILA11,VIAL3,Viburnum alnifolium Marshall,,,
549,VILA11,VIGR8,Viburnum grandifolium Aiton,,,
550,VILA11,,Viburnum lantanoides Michx.,hobblebush,Caprifoliaceae,woodland
551,VINU,,Viburnum nudum L.,possumhaw,Caprifoliaceae,woodland
552,VIPR,VIPRB,Viburnum prunifolium L. var. bushii (Ashe) Palmer & Steyerm.,,,
553,VIPR,VIPRG,Viburnum prunifolium L. var. globosum Nash,,,
554,VIPR,,Viburnum prunifolium L.,blackhaw,Caprifoliaceae,woodland
555,VIPR,VIBU,Viburnum bushii Ashe,,,
556,VIRO2,,Viola rotundifolia Michx.,roundleaf yellow violet,Violaceae,
557,VIRO3,MURO,Muscadinia rotundifolia (Michx.) Small,,,
558,VIRO3,,Vitis rotundifolia Michx.,muscadine,Vitaceae,
559,VITIS,,Vitis L.,grape,Vitaceae,
560,VIVU,VICO3,Vitis cordifolia Michx.,,,
561,VIVU,,Vitis vulpina L.,frost grape,Vitaceae,
562,VIVU,VICOS,Vitis cordifolia Michx. var. sempervirens Munson,,,
563,VIVU,VICOF,Vitis cordifolia Michx. var. foetida Engelm.,,,
564,VIVU,VIIL,Vitis illex L.H. Bailey,,,
565,WISTE,,Wisteria Nutt.,wisteria,Fabaceae,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
