Group,chojnacky,MedianSpecGrav,beta0,beta1
Conifer,AbiesBelow0.35spg,0.33,-2.3123,2.3482
Conifer,AbiesAbove0.35spg,0.37,-3.1774,2.6426
Conifer,CupressaceaeBelow0.30spg,0.29,-1.9615,2.1063
Conifer,Cupressaceae0.30-0.39spg,0.34,-2.7765,2.4195
Conifer,CupressaceaeAbove0.40spg,0.43,-2.6327,2.4757
Conifer,Larix,0.49,-2.3012,2.3853
Conifer,PiceaBelow0.35spg,0.33,-3.0300,2.5567
Conifer,PiceaAbove0.35spg,0.37,-2.1364,2.3233
Conifer,PinusBelow0.45spg,0.39,-2.6177,2.4638
Conifer,PinusAbove0.45spg,0.47,-3.0506,2.6465
Conifer,Pseudotsuga,0.45,-2.4623,2.4852
Conifer,TsugaBelow0.40spg,0.38,-2.3480,2.3876
Conifer,TsugaAbove0.40spg,0.42,-2.9208,2.5697
Hardwood,AceraceaeBelow0.50spg,0.44,-2.0470,2.3852
Hardwood,AceraceaeAbove0.50spg,0.56,-1.8011,2.3852
Hardwood,BetulaceaeBelow0.40spg,0.37,-2.5932,2.5349
Hardwood,Betulaceae0.40-0.49spg,0.47,-2.2271,2.4513
Hardwood,Betulaceae0.50-0.59spg,0.55,-1.8096,2.3480
Hardwood,BetulaceaeAbove0.60spg,0.62,-2.2652,2.5349
Hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,0.47,-2.2118,2.4133
Hardwood,Fabaceae/Juglandaceae/Carya,0.62,-2.5095,2.6175
Hardwood,Fabaceae/Juglandaceae/Other,0.66,-2.5095,2.5437
Hardwood,FagaceaeDeciduous,0.57,-2.0705,2.4410
Hardwood,FagaceaeEvergreen,0.58,-2.2198,2.4410
Hardwood,Hamamelidaceae,0.46,-2.6390,2.5466
Hardwood,Hippocastanaceae/Tiliaceae,0.32,-2.4108,2.4177
Hardwood,Magnoliaceae,0.4,-2.5497,2.5011
Hardwood,OleaceaeBelow0.55spg,0.51,-2.0314,2.3524
Hardwood,OleaceaeAbove0.55spg,0.55,-1.8384,2.3524
Hardwood,SalicaceaeBelow0.35spg,0.31,-2.6863,2.4561
Hardwood,SalicaceaeAbove0.35spg,0.36,-2.4441,2.4561
Woodland,Cupressaceae2,0.5,-2.7096,2.1942
Woodland,Fabaceae/Rosaceae,0.8,-2.9255,2.4109
Woodland,Fagaceae,0.59,-3.0304,2.4982
Woodland,Pinaceae,0.51,-3.2007,2.5339
