Species.Group,chojnacky,FIA.Code
conifer,AbiesBelow0.35spg,12
conifer,AbiesBelow0.35spg,16
conifer,AbiesBelow0.35spg,19
conifer,AbiesAbove0.35spg,11
conifer,AbiesAbove0.35spg,15
conifer,AbiesAbove0.35spg,17
conifer,AbiesAbove0.35spg,20
conifer,AbiesAbove0.35spg,22
conifer,AbiesAbove0.35spg,10
conifer,CupressaceaeBelow0.30spg,241
conifer,Cupressaceae0.30-0.39spg,81
conifer,Cupressaceae0.30-0.39spg,212
conifer,Cupressaceae0.30-0.39spg,242
conifer,CupressaceaeAbove0.40spg,42
conifer,CupressaceaeAbove0.40spg,68
conifer,Larix,71
conifer,Larix,73
conifer,Larix,70
conifer,PiceaBelow0.35spg,93
conifer,PiceaBelow0.35spg,98
conifer,PiceaAbove0.35spg,91
conifer,PiceaAbove0.35spg,94
conifer,PiceaAbove0.35spg,95
conifer,PiceaAbove0.35spg,97
conifer,PinusBelow0.45spg,101
conifer,PinusBelow0.45spg,135
conifer,PinusBelow0.45spg,105
conifer,PinusBelow0.45spg,108
conifer,PinusBelow0.45spg,116
conifer,PinusBelow0.45spg,117
conifer,PinusBelow0.45spg,118
conifer,PinusBelow0.45spg,119
conifer,PinusBelow0.45spg,122
conifer,PinusBelow0.45spg,125
conifer,PinusBelow0.45spg,100
conifer,PinusBelow0.45spg,129
conifer,PinusAbove0.45spg,110
conifer,PinusAbove0.45spg,111
conifer,PinusAbove0.45spg,121
conifer,PinusAbove0.45spg,126
conifer,PinusAbove0.45spg,131
conifer,Pseudotsuga,202
conifer,TsugaBelow0.40spg,261
conifer,TsugaAbove0.40spg,263
conifer,TsugaAbove0.40spg,264
hardwood,AceraceaeBelow0.50spg,312
hardwood,AceraceaeBelow0.50spg,315
hardwood,AceraceaeBelow0.50spg,316
hardwood,AceraceaeBelow0.50spg,317
hardwood,AceraceaeBelow0.50spg,319
hardwood,AceraceaeAbove0.50spg,318
hardwood,BetulaceaeBelow0.40spg,351
hardwood,BetulaceaeBelow0.40spg,350
hardwood,Betulaceae0.40-0.49spg,375
hardwood,Betulaceae0.40-0.49spg,379
hardwood,Betulaceae0.50-0.59spg,371
hardwood,BetulaceaeAbove0.60spg,372
hardwood,BetulaceaeAbove0.60spg,701
hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,491
hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,691
hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,693
hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,361
hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,711
hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,981
hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,931
hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,731
hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,356
hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,761
hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,762
hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,763
hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,935
hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,972
hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae,970
hardwood,Fabaceae/Juglandaceae/Carya,404
hardwood,Fabaceae/Juglandaceae/Carya,407
hardwood,Fabaceae/Juglandaceae/Carya,400
hardwood,Fabaceae/Juglandaceae/Other,901
hardwood,FagaceaeDeciduous,421
hardwood,FagaceaeDeciduous,531
hardwood,FagaceaeDeciduous,802
hardwood,FagaceaeDeciduous,806
hardwood,FagaceaeDeciduous,809
hardwood,FagaceaeDeciduous,812
hardwood,FagaceaeDeciduous,823
hardwood,FagaceaeDeciduous,827
hardwood,FagaceaeDeciduous,832
hardwood,FagaceaeDeciduous,833
hardwood,FagaceaeDeciduous,800
hardwood,FagaceaeDeciduous,835
hardwood,FagaceaeDeciduous,837
hardwood,FagaceaeEvergreen,431
hardwood,FagaceaeEvergreen,631
hardwood,FagaceaeEvergreen,807
hardwood,FagaceaeEvergreen,820
hardwood,FagaceaeEvergreen,841
hardwood,Hamamelidaceae,611
hardwood,Hippocastanaceae/Tiliaceae,332
hardwood,Hippocastanaceae/Tiliaceae,951
hardwood,Hippocastanaceae/Tiliaceae,952
hardwood,Magnoliaceae,621
hardwood,Magnoliaceae,655
hardwood,Magnoliaceae,653
hardwood,OleaceaeBelow0.55spg,543
hardwood,OleaceaeBelow0.55spg,544
hardwood,OleaceaeBelow0.55spg,540
hardwood,OleaceaeAbove0.55spg,541
hardwood,SalicaceaeBelow0.35spg,741
hardwood,SalicaceaeBelow0.35spg,747
hardwood,SalicaceaeBelow0.35spg,740
hardwood,SalicaceaeAbove0.35spg,742
hardwood,SalicaceaeAbove0.35spg,743
hardwood,SalicaceaeAbove0.35spg,740
hardwood,SalicaceaeAbove0.35spg,746
hardwood,SalicaceaeAbove0.35spg,927
hardwood,SalicaceaeAbove0.35spg,920
woodland,Cupressaceae2,50
woodland,Cupressaceae2,69
woodland,Cupressaceae2,64
woodland,Cupressaceae2,65
woodland,Fabaceae/Rosaceae,none
woodland,Fabaceae/Rosaceae,755
woodland,Fabaceae/Rosaceae,475
woodland,Fabaceae/Rosaceae,477
woodland,Fagaceae,807
woodland,Fagaceae,814
woodland,Fagaceae,843
woodland,Fagaceae,850
woodland,Pinaceae,140
woodland,Pinaceae,106
woodland,Pinaceae,133
