"taxonID","FIA.Code","Common.Name"
"2PLANT-S",NA,""
"HAVI4",7331,"American witchhazel"
NA,NA,NA
"CEOR7",3026,"Oriental bittersweet"
"LOMA6",NA,"Amur honeysuckle"
"PISTA",NA,"pistache"
"RHCO",NA,"winged sumac"
"SILA20",NA,"gum bully"
"ULMACE",NA,NA
"VITIS",NA,"grape"
"CEOC2",5432,"common buttonbush"
"COCA",NA,"Carolina coralbead"
"MORU",NA,"redpurple beebalm"
"TORA2",NA,"eastern poison ivy"
"TRSE6",994,"Chinese tallow"
"ULMUSSPP",NA,NA
"VEAR2",NA,"coastal plain crownbeard"
"VIRO3",NA,"muscadine"
"PYPU",NA,"buffalo nut"
"2PLANT-H",NA,""
"ACRE4",NA,"catch and keep"
"AMEL",852,"sea torchwood"
"BUGL",6295,"cafe forastero"
"BUMI6",NA,"buxbaumia moss"
"BUSI",854,"gumbo limbo"
"CACY",6386,"Jamaican caper"
"CAHA9",6389,"broadleaf caper"
"CAIN5",6390,"linguam"
"CRLU2",NA,"firebush"
"CROSS",6767,"crossopetalum"
"CROTO",NA,"croton"
"DILA10",NA,"liana fragante"
"EXCA",7135,"Caribbean princewood"
"FABACE",NA,NA
"GUKR",7300,"frogwood"
"GUOF",7279,"lignum-vitae"
"GUSA",7280,"holywood"
"GYLU",7317,"oysterwood"
"HEPU17",NA,"bull withe"
"JACQU",NA,"clustervine"
"RAPO2",NA,"Puerto Rico indigoberry"
"SCFR",8554,"Florida boxwood"
"SIOB",8613,"breakbill"
"SISA6",891,"white bully"
"THSTP",8794,"Puerto Rico ceboruquillo"
"PINACE",NA,NA
"PRENA",NA,"rattlesnakeroot"
"BETULA",NA,NA
"LIST",NA,"ridged yellow flax"
"QUERCSPP",NA,NA
"SILAL3",381,"gum bully"
"SMSM",NA,"lanceleaf greenbrier"
"RHAR4",NA,"fragrant sumac"
"ANIN",6114,"cabbagebark tree"
"MAIN3",885,"mango"
"MEBI",7717,"Spanish lime"
"CARA2",998,"trumpet creeper"
"ITVI",NA,"Virginia sweetspire"
"PAQU2",NA,"Virginia creeper"
"RHPE4",NA,"pink azalea"
"LOJA",NA,"Japanese honeysuckle"
"RHGL",NA,"smooth sumac"
"VIRU",NA,"rusty blackhaw"
"LYFE",NA,"rusty staggerbush"
"LYLU3",NA,"fetterbush lyonia"
"ALST11",NA,"maile"
"CIGL",6547,"hapu'u"
"COOC3",6720,"Maui mirrorplant"
"COPRO",6724,"mirrorplant"
"COPROSPP",NA,NA
"HETE21",7346,"variable starviolet"
"MECL",7724,"kukaemoa"
"MELIC3",7754,"melicope"
"MERA2",7749,"kapu melicope"
"MYSA",7883,"naio"
"PESA3",8131,"olomea"
"PSHA3",8373,"kopiko 'ula"
"BETH",NA,"Japanese barberry"
"ROMU",NA,"multiflora rose"
"CELE2",NA,"chaparral whitethorn"
"TODI",NA,"Pacific poison oak"
"CADE8",NA,"dense sedge"
"CEIN3",NA,"deerbrush"
"FRAM2/FRPE",NA,NA
"POSE",NA,"Sandberg bluegrass"
"PRSE",NA,"cankerweed"
"ILFL",NA,"Florida anisetree"
"TOVE",NA,"poison sumac"
"VAEL",NA,"Elliott's blueberry"
"VAPA4",NA,"Blue Ridge blueberry"
"VAST",NA,"deerberry"
"AMCO2",NA,NA
"RIMI",NA,"Missouri gooseberry"
"SYOR",NA,"coralberry"
"VIRI",NA,"riverbank grape"
