"taxonID","FIA.Code","Common.Name","match","issue"
"FRPU7",NA,"Cascara buckthorn",0,"No matching allometry from Chojnacky et al. (2014)"
"PREM",768,"bitter cherry",0,"No matching allometry from Chojnacky et al. (2014)"
"2PLANT",NA,"",0,"No matching allometry from Chojnacky et al. (2014)"
"FRAXI",NA,"ash",0,"No matching allometry from Chojnacky et al. (2014)"
"PINUS",NA,"pine",0,"No matching allometry from Chojnacky et al. (2014)"
"AIAL",341,"tree of heaven",0,"No matching allometry from Chojnacky et al. (2014)"
"ASTR",367,"pawpaw",0,"No matching allometry from Chojnacky et al. (2014)"
"CACO15",402,"bitternut hickory",0,"No matching allometry from Chojnacky et al. (2014)"
"CAGL8",403,"pignut hickory",0,"No matching allometry from Chojnacky et al. (2014)"
"CAOV3",412,"red hickory",0,"No matching allometry from Chojnacky et al. (2014)"
"CARYA",NA,"hybrid hickory",0,"No matching allometry from Chojnacky et al. (2014)"
"CATO6",NA,"mockernut hickory",0,"No matching allometry from Chojnacky et al. (2014)"
"CEOC",462,"common hackberry",0,"No matching allometry from Chojnacky et al. (2014)"
"GIBI2",561,"maidenhair tree",0,"No matching allometry from Chojnacky et al. (2014)"
"GLTR",552,"honeylocust",0,"No matching allometry from Chojnacky et al. (2014)"
"JUNI",602,"black walnut",0,"No matching allometry from Chojnacky et al. (2014)"
"JUVIV",NA,"eastern redcedar",0,"No matching allometry from Chojnacky et al. (2014)"
"LIBE3",NA,"northern spicebush",0,"No matching allometry from Chojnacky et al. (2014)"
"MAPO",641,"Osage-orange",0,"No matching allometry from Chojnacky et al. (2014)"
"PRAV",771,"sweet cherry",0,"No matching allometry from Chojnacky et al. (2014)"
"RHDA",NA,"Dahurian buckthorn",0,"No matching allometry from Chojnacky et al. (2014)"
"TEDA",NA,"bee-bee tree",0,"No matching allometry from Chojnacky et al. (2014)"
"VIPR",NA,"blackhaw",0,"No matching allometry from Chojnacky et al. (2014)"
"SABE2",NA,"Bebb willow",0,"No matching allometry from Chojnacky et al. (2014)"
"SALIX",NA,"willow",0,"No matching allometry from Chojnacky et al. (2014)"
"SAPU15",926,"tealeaf willow",0,"No matching allometry from Chojnacky et al. (2014)"
"SASC",926,"Scouler's willow",0,"No matching allometry from Chojnacky et al. (2014)"
"CECA4",471,"eastern redbud",0,"No matching allometry from Chojnacky et al. (2014)"
"CELA",461,"sugarberry",0,"No matching allometry from Chojnacky et al. (2014)"
"CELTI",NA,"hackberry",0,"No matching allometry from Chojnacky et al. (2014)"
"CODR",NA,"roughleaf dogwood",0,"No matching allometry from Chojnacky et al. (2014)"
"FRCA13",NA,"Carolina buckthorn",0,"No matching allometry from Chojnacky et al. (2014)"
"ILDE",NA,"possumhaw",0,"No matching allometry from Chojnacky et al. (2014)"
"MORU2",682,"red mulberry",0,"No matching allometry from Chojnacky et al. (2014)"
"PRAN3",NA,"Chickasaw plum",0,"No matching allometry from Chojnacky et al. (2014)"
"ULAL",971,"winged elm",0,"No matching allometry from Chojnacky et al. (2014)"
"ULCR",973,"cedar elm",0,"No matching allometry from Chojnacky et al. (2014)"
"CAAM2",NA,"American beautyberry",0,"No matching allometry from Chojnacky et al. (2014)"
"CAAQ2",401,"water hickory",0,"No matching allometry from Chojnacky et al. (2014)"
"COFO",NA,"stiff dogwood",0,"No matching allometry from Chojnacky et al. (2014)"
"DIVI5",521,"common persimmon",0,"No matching allometry from Chojnacky et al. (2014)"
"HAVI2",NA,"beggarslice",0,"No matching allometry from Chojnacky et al. (2014)"
"ILVO",7469,"yaupon",0,"No matching allometry from Chojnacky et al. (2014)"
"LIJA",7577,"Japanese privet",0,"No matching allometry from Chojnacky et al. (2014)"
"LISI",NA,"Chinese privet",0,"No matching allometry from Chojnacky et al. (2014)"
"MALUS",660,"apple",0,"No matching allometry from Chojnacky et al. (2014)"
"MEAZ",993,"Chinaberrytree",0,"No matching allometry from Chojnacky et al. (2014)"
"NYBI",694,"swamp tupelo",0,"No matching allometry from Chojnacky et al. (2014)"
"PLAQ",722,"planertree",0,"No matching allometry from Chojnacky et al. (2014)"
"SANI",922,"black willow",0,"No matching allometry from Chojnacky et al. (2014)"
"SANI4",NA,"black elderberry",0,"No matching allometry from Chojnacky et al. (2014)"
"SYTI",NA,"common sweetleaf",0,"No matching allometry from Chojnacky et al. (2014)"
"TADI2",221,"bald cypress",0,"No matching allometry from Chojnacky et al. (2014)"
"CLKE",481,"Kentucky yellowwood",0,"No matching allometry from Chojnacky et al. (2014)"
"HATE3",NA,"mountain silverbell",0,"No matching allometry from Chojnacky et al. (2014)"
"ILOP",591,"American holly",0,"No matching allometry from Chojnacky et al. (2014)"
"KALA",NA,"mountain laurel",0,"No matching allometry from Chojnacky et al. (2014)"
"MAAC",651,"cucumber tree",0,"No matching allometry from Chojnacky et al. (2014)"
"MATR",658,"umbrella-tree",0,"No matching allometry from Chojnacky et al. (2014)"
"PIPU5",123,"Table Mountain pine",0,"No matching allometry from Chojnacky et al. (2014)"
"PIVI2",132,"Virginia pine",0,"No matching allometry from Chojnacky et al. (2014)"
"ULRU",975,"slippery elm",0,"No matching allometry from Chojnacky et al. (2014)"
"ACFA",303,"sweet acacia",0,"No matching allometry from Chojnacky et al. (2014)"
"BOSU2",6255,"bodywood",0,"No matching allometry from Chojnacky et al. (2014)"
"BOURR",NA,"strongbark",0,"No matching allometry from Chojnacky et al. (2014)"
"BUBU",6284,"gregorywood",0,"No matching allometry from Chojnacky et al. (2014)"
"CODI8",863,"tietongue",0,"No matching allometry from Chojnacky et al. (2014)"
"ERAR17",7019,"swamp-redwood",0,"No matching allometry from Chojnacky et al. (2014)"
"EUFO3",NA,"boxleaf stopper",0,"No matching allometry from Chojnacky et al. (2014)"
"EURH",873,"red stopper",0,"No matching allometry from Chojnacky et al. (2014)"
"GUOB",7286,"corcho prieto",0,"No matching allometry from Chojnacky et al. (2014)"
"JABE",7487,"bois bande",0,"No matching allometry from Chojnacky et al. (2014)"
"KRFE",7514,"leadwood",0,"No matching allometry from Chojnacky et al. (2014)"
"LELE10",7565,"white leadtree",0,"No matching allometry from Chojnacky et al. (2014)"
