"","Genus","n","b0","b1","Rsqr","Rsqr_adj","Std.Error"
"1","Abies",5978,-27.1177323367567,1.02924852292159,0.992031549501086,0.992030216092368,111.776030115227
"2","Acer",24288,-0.895731882848595,0.966582092334991,0.99792166303254,0.997921577454965,14.8275846249663
"3","Aesculus",49,0.00958264911250715,0.967763175586066,0.999899101262903,0.999896954481262,0.0116798217014866
"4","Alnus",185,-2.0486891568136,1.14119590210422,0.999284516503067,0.999280606757183,4.56555769652596
"5","Amelanchier",826,-43.299314189467,2.84915432369179,0.971261519002177,0.97122664220485,29.391047004929
"6","Betula",5440,-42.1879403137347,1.40318822830796,0.959710334596328,0.95970292568397,101.39453351683
"7","Calocedrus",577,-16.2632377954524,0.947707669285839,0.997143740472395,0.997138773064521,20.0898080198937
"8","Carpinus",2806,-1.30078326285508,1.47835431409519,0.999688329544476,0.999688218392387,2.14610404912565
"9","Carya",858,-44.164559078545,1.29857304791105,0.996570595993824,0.996566589680733,47.2623986941666
"10","Castanea",204,-0.0300897053944312,0.961628831939737,0.999996029690806,0.99999601003581,0.031939339211511
"11","Cornus",1000,0.547544060450282,1.07453680147914,0.999723880719304,0.999723604046678,0.38537608024247
"12","Crataegus",38,-2.24671262568567,1.35327183994098,0.982078286641913,0.981580461270855,2.24005249454179
"13","Fagus",9417,-0.573086440353712,0.971390037039055,0.999992292297569,0.999992291478907,1.17721787400925
"14","Fraxinus",3215,9.43927642061113,1.06096955970915,0.994251043504617,0.994249254224662,41.2493616241836
"15","Juniperus",1644,-10.0271312542645,1.06517945177259,0.895651379305922,0.895587829597825,41.5189859059723
"16","Larix",508,-2.87919435185017,0.969483064738609,0.999831020637127,0.999830686685817,2.03226108809571
"17","Liquidambar",3923,-7.31552155964152,1.10461419089987,0.999693371691986,0.999693293490428,10.069157019445
"18","Liriodendron",3384,-7.61798255018242,1.0094852343868,0.999978982256236,0.999978976041646,6.77713095703944
"19","Magnolia",162,-0.558900984098842,0.993018913178103,0.999965539010972,0.999965323629791,0.859188329581516
"20","Nyssa",2484,4.42688419888519,0.987988690031593,0.999407102884722,0.999406864005949,6.75598331026647
"21","Ostrya",743,-0.23134691800087,1.4232701878778,0.999881645363696,0.99988148564084,0.325013744016701
"22","Oxydendrum",1829,2.4065347516707,1.01999339658979,0.999423294863413,0.999422979206523,2.60515706216294
"23","Picea",12958,-1.57443346371935,0.905863892743146,0.997461818835921,0.997461622928144,7.59415331035296
"24","Pinus",13625,7.04935283333061,1.10972682085968,0.98324696998365,0.98324574022295,86.6034687123159
"25","Platanus",205,21.9577794818723,0.966324264399552,0.999801002716673,0.999800022434489,15.0312572582805
"26","Populus",10282,-8.51551529651234,1.09246783441588,0.998102955314455,0.998102770777034,16.2079127039208
"27","Prosopis",110,-1.25698257378661,1.37025776665264,0.984753368228311,0.984612195711906,1.62473926895311
"28","Prunus",593,2.61666517800775,1.00521629635515,0.999473543880935,0.99947265309224,4.58255036481543
"29","Pseudotsuga",1290,-13.3192784088387,0.958343057850804,0.999795378421201,0.999795219553515,15.2269130178187
"30","Quercus",14045,-5.73522428741477,0.96795922278586,0.9966504844246,0.99665024590608,66.2312484686356
"31","Robinia",545,-5.28561490479764,1.22197055788126,0.999707063966413,0.999706524489371,6.92638224646325
"32","Sassafras",1150,4.93795040004246,0.997457957903461,0.999414644865371,0.999414134974139,6.53169249566948
"33","Sorbus",7,-1.77217431645054,1.44482082766858,0.999292175742307,0.999150610890768,0.777826893597991
"34","Thuja",316,-37.7014615347883,0.991765056564238,0.998038039174053,0.998031790891168,49.0243562859122
"35","Tilia",214,6.65078790123335,0.823061304636361,0.999831212041788,0.999830415872174,5.72546602691106
"36","Tsuga",11721,-19.2882510667345,0.853551523024809,0.991407292304654,0.991406559075906,60.2957981753862
"37","Ulmus",1249,13.3735755912786,0.908816136598588,0.999608468312696,0.999608154333797,19.0394257714028
