"","product","site","table","type","ext","month","timestamp","horizontalPosition","verticalPosition","samplingInterval","date_range","path","md5","crc32","release"
"1","DP0.10098.001","BART","categoricalCodes",NA,"csv",NA,2023-05-01 23:18:54,NA,NA,NA,NA,"C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP0.10098.001.categoricalCodes.20230501T231854Z.csv","157eb44ff6e27352937ea6a7f2af4a12",NA,"PROVISIONAL"
"2","DP0.10098.001","BART","categoricalCodes",NA,"csv",NA,2023-05-01 23:22:05,NA,NA,NA,NA,"C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP0.10098.001.categoricalCodes.20230501T232205Z.csv","0ee69b849b463fdc5219ea0e65ce867c",NA,"PROVISIONAL"
"3","DP0.10098.001","BART","categoricalCodes",NA,"csv",NA,2023-11-09 01:40:16,NA,NA,NA,NA,"C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP0.10098.001.categoricalCodes.20231109T014016Z.csv","b6d0340c15d56304850e9fa0af667d22",NA,"PROVISIONAL"
"4","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20140805-20140827","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20140805-20140827.20230127T120753Z.xml","128b3ff9c42bdd628cab0f644920cf19",NA,"RELEASE-2023"
"5","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20140805-20140827","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20140805-20140827.20240127T000425Z.xml","b6a4b4924fbe7e35e79bc70ba5153b42",NA,"RELEASE-2024"
"6","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20150810-20150831","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20150810-20150831.20230127T120753Z.xml","6aab08e415f89e502eeef3a86cf589dc",NA,"RELEASE-2023"
"7","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20150810-20150831","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20150810-20150831.20240127T000425Z.xml","f1d5691ecdeda5cdfcd9bea70c9810f7",NA,"RELEASE-2024"
"8","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20150901-20150904","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20150901-20150904.20230127T120753Z.xml","6dfafd537c8caa0ce25b8517a3f46163",NA,"RELEASE-2023"
"9","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20150901-20150904","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20150901-20150904.20240127T000425Z.xml","8d53272d223007a16682791642017d06",NA,"RELEASE-2024"
"10","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20160801-20160831","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20160801-20160831.20230127T120753Z.xml","0bd9338fee3860279cf690cb34edca22",NA,"RELEASE-2023"
"11","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20160801-20160831","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20160801-20160831.20240127T000425Z.xml","6b8c9651449959f129563ea195838e94",NA,"RELEASE-2024"
"12","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20160906-20160928","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20160906-20160928.20230127T120753Z.xml","0343fd1a33816d4d3f626146e136f8cf",NA,"RELEASE-2023"
"13","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20160906-20160928","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20160906-20160928.20240127T000425Z.xml","e9f06721ba857da495f9c6a5f7252299",NA,"RELEASE-2024"
"14","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20161017-20161019","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20161017-20161019.20230127T120753Z.xml","be58873ac8e30f41fec4300f99ab0157",NA,"RELEASE-2023"
"15","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20161017-20161019","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20161017-20161019.20240127T000425Z.xml","896aa5b702fcf1b73c8410630b158fcd",NA,"RELEASE-2024"
"16","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20170710-20170712","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20170710-20170712.20230127T120753Z.xml","ebd2723a95b0637d1997da0d3d76a97f",NA,"RELEASE-2023"
"17","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20170710-20170712","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20170710-20170712.20240127T000425Z.xml","75db9e7110cce5edb342a5091ebe953e",NA,"RELEASE-2024"
"18","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20170828-20170830","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20170828-20170830.20230127T120753Z.xml","7053007857d86b06ae75026fa8049197",NA,"RELEASE-2023"
"19","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20170828-20170830","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20170828-20170830.20240127T000425Z.xml","a2eb8fe24ac463046e9fa914ca82c4cf",NA,"RELEASE-2024"
"20","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20170906-20170926","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20170906-20170926.20230127T120753Z.xml","5f7a797d703bf2066d21ed735f1807c4",NA,"RELEASE-2023"
"21","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20170906-20170926","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20170906-20170926.20240127T000425Z.xml","8db5ff3d17d867d9c01f822831be171b",NA,"RELEASE-2024"
"22","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20180716-20180719","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20180716-20180719.20230127T120753Z.xml","3a5aeb2bb48a2471e49de39b74750a36",NA,"RELEASE-2023"
"23","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20180716-20180719","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20180716-20180719.20240127T000425Z.xml","44c0fb5221fd934b9940d417feb59cf4",NA,"RELEASE-2024"
"24","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20180815-20180829","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20180815-20180829.20230127T120753Z.xml","0d3620c959cbf1edb255663c2037c87b",NA,"RELEASE-2023"
"25","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20180815-20180829","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20180815-20180829.20240127T000425Z.xml","1fbfeb342f28a4b0a8c3f52c3f8360f9",NA,"RELEASE-2024"
"26","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20180912-20180927","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20180912-20180927.20230127T120753Z.xml","b02e169dc51cd8005d971fef8b4b2026",NA,"RELEASE-2023"
"27","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20180912-20180927","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20180912-20180927.20240127T000425Z.xml","fed3fdab45d7f05747da56510dca33de",NA,"RELEASE-2024"
"28","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20190710-20190717","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20190710-20190717.20230127T120753Z.xml","36b4044530b77444f03c0de00461d9c2",NA,"RELEASE-2023"
"29","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20190710-20190717","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20190710-20190717.20240127T000425Z.xml","affb50a235a0f8196e49351bf043fb9d",NA,"RELEASE-2024"
"30","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20190812-20190828","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20190812-20190828.20230127T120753Z.xml","b1c74c3c6ab2c7155e556f64faffd871",NA,"RELEASE-2023"
"31","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20190812-20190828","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20190812-20190828.20240127T000425Z.xml","a78e993ccda7a5ac306bb4225918d576",NA,"RELEASE-2024"
"32","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20190910-20190924","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20190910-20190924.20230127T120753Z.xml","2ee4df52dbfaf56dbd5732a1f16ce97d",NA,"RELEASE-2023"
"33","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20190910-20190924","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20190910-20190924.20240127T000425Z.xml","0e029612a49f7c7f3c107eff6cfdf7d8",NA,"RELEASE-2024"
"34","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20191001-20191001","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20191001-20191001.20230127T120753Z.xml","262c15065f994227bb644dd7cefffe08",NA,"RELEASE-2023"
"35","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20191001-20191001","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20191001-20191001.20240127T000425Z.xml","a62425bf1397b036f5c87b108fd83e75",NA,"RELEASE-2024"
"36","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20200805-20200823","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20200805-20200823.20230127T120753Z.xml","fb4d7f0bf83c92535048a54620cbfef2",NA,"RELEASE-2023"
"37","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20200805-20200823","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20200805-20200823.20240127T000425Z.xml","62b39f798386712e5f4961925b6ef9b2",NA,"RELEASE-2024"
"38","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20210725-20210726","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20210725-20210726.20230127T120753Z.xml","40ee154c15f93f65c338e60333111bf5",NA,"RELEASE-2023"
"39","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20210725-20210726","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20210725-20210726.20240127T000425Z.xml","749ae3a17228d38d62b9ba3ccf9e5a8b",NA,"RELEASE-2024"
"40","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20210810-20210825","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20210810-20210825.20230127T120753Z.xml","00f3c2121ee9a3adf45c5bbd05647463",NA,"RELEASE-2023"
"41","DP1.10098.001","BART","EML",NA,"xml",NA,2024-01-27 00:04:25,NA,NA,NA,"20210810-20210825","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20210810-20210825.20240127T000425Z.xml","d07a19e47e83b21ee96c1ee2d1901cae",NA,"RELEASE-2024"
"42","DP1.10098.001","BART","EML",NA,"xml",NA,2023-01-27 12:07:53,NA,NA,NA,"20210902-20210929","C:\Users\jeffa\AppData\Roaming/R/data/R/neonstore/DP1.10098.001/BART/NEON.D01.BART.DP1.10098.001.EML.20210902-20210929.20230127T120753Z.xml","d0970a161579076483b2dfd1f4544e0c",NA,"RELEASE-2023"
