"Genus","taxonID","individualID","plotID","siteID","domainID","date","plantStatus","growthForm","canopyPosition","measurementHeight","basalStemDiameterMsrmntHeight","height","stemDiameter","basalStemDiameter","pointID","scientificName","stemDistance","stemAzimuth","year","FIA.Code","jenkins_model","Scientific.Name.with.Author","Common.Name","Family","habit","Species","Adj.Factor","model_name","betaZero","betaOne","chojnacky","Species.Group","Group","MedianSpecGrav","beta0","beta1","SapBeta1","SapBeta2","est.dbh","flag","AGBJenkins","AGBChojnacky","AGBAnnighofer"
"Pinus","PICO","NEON.PLA.D12.YELL.01213","YELL_052","YELL","D12",2019-09-11,"Standing dead","single bole tree",NA,130,NA,19,32.2,NA,41,"Pinus contorta Douglas ex Loudon",15.9,202.8,"2019",108,"pine","Pinus contorta Douglas ex Loudon","lodgepole pine","Pinaceae","tree","contorta",0.883,"sw4",-2.5356,2.4349,"PinusBelow0.45spg","conifer","Conifer",0.39,-2.6177,2.4638,0.574215,0.848035,NA,"Check",371.775848666681,378.619198163888,NA
"Pinus","PICO","NEON.PLA.D12.YELL.01213","YELL_052","YELL","D12",2021-09-08,"Standing dead","single bole tree","Partially shaded",130,NA,15.3,32.7,NA,41,"Pinus contorta Douglas ex Loudon",15.9,202.8,"2021",108,"pine","Pinus contorta Douglas ex Loudon","lodgepole pine","Pinaceae","tree","contorta",0.883,"sw4",-2.5356,2.4349,"PinusBelow0.45spg","conifer","Conifer",0.39,-2.6177,2.4638,0.574215,0.848035,NA,"Check",385.989272329646,393.26933854405,NA
"Pinus","PICO","NEON.PLA.D12.YELL.00124","YELL_020","YELL","D12",2019-08-14,"Live","single bole tree","Partially shaded",130,NA,7.3,15.7,NA,51,"Pinus contorta Douglas ex Loudon",8.4,220,"2019",108,"pine","Pinus contorta Douglas ex Loudon","lodgepole pine","Pinaceae","tree","contorta",0.883,"sw4",-2.5356,2.4349,"PinusBelow0.45spg","conifer","Conifer",0.39,-2.6177,2.4638,0.574215,0.848035,NA,"Check",64.6694214035188,64.5067108837292,NA
"Pinus","PICO","NEON.PLA.D12.YELL.00119","YELL_020","YELL","D12",2018-05-22,"Live","single bole tree","Full sun",130,NA,6,13,NA,33,"Pinus contorta Douglas ex Loudon",9,351.2,"2018",108,"pine","Pinus contorta Douglas ex Loudon","lodgepole pine","Pinaceae","tree","contorta",0.883,"sw4",-2.5356,2.4349,"PinusBelow0.45spg","conifer","Conifer",0.39,-2.6177,2.4638,0.574215,0.848035,NA,"Check",40.8454401353993,40.5210757203261,NA
"Pinus","PICO","NEON.PLA.D12.YELL.02729","YELL_049","YELL","D12",2019-09-23,"Live","small tree",NA,130,NA,3.7,6.5,NA,61,"Pinus contorta Douglas ex Loudon",1.2,226.2,"2019",108,"pine","Pinus contorta Douglas ex Loudon","lodgepole pine","Pinaceae","tree","contorta",0.883,"sw4",-2.5356,2.4349,"PinusBelow0.45spg","conifer","Conifer",0.39,-2.6177,2.4638,0.574215,0.848035,NA,"Check",5.5793725436426,5.40581581254247,NA
"Pinus","PICO","NEON.PLA.D12.YELL.01525","YELL_056","YELL","D12",2021-09-01,"Live","single bole tree","Partially shaded",130,NA,12.1,30.6,NA,39,"Pinus contorta Douglas ex Loudon",14.7,49.7,"2021",108,"pine","Pinus contorta Douglas ex Loudon","lodgepole pine","Pinaceae","tree","contorta",0.883,"sw4",-2.5356,2.4349,"PinusBelow0.45spg","conifer","Conifer",0.39,-2.6177,2.4638,0.574215,0.848035,NA,"Check",328.387042982186,333.939494398771,NA
"Pinus","PICO","NEON.PLA.D12.YELL.00149","YELL_020","YELL","D12",2018-05-22,"Live","single bole tree","Full sun",130,NA,5.8,10.8,NA,49,"Pinus contorta Douglas ex Loudon",5.6,123.7,"2018",108,"pine","Pinus contorta Douglas ex Loudon","lodgepole pine","Pinaceae","tree","contorta",0.883,"sw4",-2.5356,2.4349,"PinusBelow0.45spg","conifer","Conifer",0.39,-2.6177,2.4638,0.574215,0.848035,NA,"Check",26.0067698244773,25.6623712496325,NA
"Pinus","PICO","NEON.PLA.D12.YELL.00152","YELL_020","YELL","D12",2019-08-14,"Live","single bole tree","Partially shaded",130,NA,5.8,10.7,NA,49,"Pinus contorta Douglas ex Loudon",1.1,152.1,"2019",108,"pine","Pinus contorta Douglas ex Loudon","lodgepole pine","Pinaceae","tree","contorta",0.883,"sw4",-2.5356,2.4349,"PinusBelow0.45spg","conifer","Conifer",0.39,-2.6177,2.4638,0.574215,0.848035,NA,"Check",25.4243273693046,25.0808982428369,NA
"Pinus","PICO","NEON.PLA.D12.YELL.01522","YELL_056","YELL","D12",2021-09-01,"Live","multi-bole tree","Full sun",200,NA,12.9,39.5,NA,21,"Pinus contorta Douglas ex Loudon",11.8,9.5,"2021",108,"pine","Pinus contorta Douglas ex Loudon","lodgepole pine","Pinaceae","tree","contorta",0.883,"sw4",-2.5356,2.4349,"PinusBelow0.45spg","conifer","Conifer",0.39,-2.6177,2.4638,0.574215,0.848035,NA,"Check",611.444692876207,626.387754480809,NA
"Pinus","PICO","NEON.PLA.D12.YELL.00151","YELL_020","YELL","D12",2019-08-14,"Live","single bole tree","Partially shaded",130,NA,6.4,26.7,NA,49,"Pinus contorta Douglas ex Loudon",3.9,164.5,"2019",108,"pine","Pinus contorta Douglas ex Loudon","lodgepole pine","Pinaceae","tree","contorta",0.883,"sw4",-2.5356,2.4349,"PinusBelow0.45spg","conifer","Conifer",0.39,-2.6177,2.4638,0.574215,0.848035,NA,"Check",235.621644065395,238.663376467737,NA
